,nuts2,country,count_github,count_twitter,count_total_contributors,population,contributors_per_100k
248,AL02,AL,41,3,44,1176240.0,3.7407331837040063
249,ES43,ES,31,8,39,1061979.0,3.6723890020424133
250,RS22,RS,52,1,53,1482810.0,3.5742947511818777
251,FRE2,FR,65,3,68,1926629.0,3.529480766665507
252,DK02,DK,26,2,28,837359.0,3.3438465461050755
253,HU22,HU,30,3,33,994549.0,3.3180868916463644
254,PL72,PL,36,4,40,1218743.0,3.282070132915635
255,ITF4,IT,116,12,128,3953305.0,3.237797235477657
256,ITI3,IT,43,4,47,1512672.0,3.1070846819403015
257,EL41,EL,7,0,7,229516.0,3.04989630352568
258,ITG1,IT,132,14,146,4875290.0,2.9946936489931884
259,SK03,SK,32,7,39,1336785.0,2.9174474578933784
260,EL65,EL,15,1,16,572151.0,2.796464569667797
261,UKM9,UK,24,2,26,947186.0,2.7449730042462623
262,ES42,ES,48,8,56,2045554.0,2.7376446674103936
263,ITF3,IT,139,16,155,5712143.0,2.713517501225022
264,HU23,HU,22,1,23,874573.0,2.6298547977127122
265,BG32,BG,19,1,20,773450.0,2.585816794880083
266,PL62,PL,35,1,36,1399038.0,2.5731967251783012
267,CZ02,CZ,32,2,34,1385141.0,2.4546237531052797
268,ITF6,IT,42,3,45,1894110.0,2.3757859891980933
269,DE93,DE,32,4,36,1716448.0,2.0973545368109026
270,FRM0,FR,7,0,7,345867.0,2.0238993601586737
271,ITF2,IT,5,1,6,300516.0,1.996565906640578
272,RO41,RO,34,4,38,1910409.0,1.9891028570321854
273,FRY2,FR,7,0,7,359821.0,1.9454117463961247
274,EL53,EL,5,0,5,264670.0,1.8891449729852268
275,HU21,HU,20,0,20,1060755.0,1.8854495147324313
276,HU31,HU,21,0,21,1118577.0,1.8773852850541357
277,EL51,EL,11,0,11,598613.0,1.8375812085604555
278,EL42,EL,6,0,6,347512.0,1.7265590828518151
279,AT11,AT,5,0,5,294436.0,1.698161909549104
280,RS21,RS,26,6,32,1900429.0,1.6838303351506423
281,PT18,PT,11,0,11,704558.0,1.5612625220350915
282,SK02,SK,23,3,26,1823792.0,1.4256011650451368
283,AL03,AL,9,3,12,865026.0,1.3872415395606608
284,ES13,ES,6,2,8,582388.0,1.3736546769507614
285,ITF5,IT,6,1,7,553254.0,1.2652416430789475
286,AL01,AL,10,0,10,804689.0,1.2427161300825538
287,PL92,PL,24,0,24,2319035.0,1.0349132289939567
288,RO22,RO,22,0,22,2377101.0,0.9254970655432815
289,RS11,RS,12,2,14,1696192.0,0.8253782590650115
290,CZ04,CZ,8,1,9,1115629.0,0.8067197966349028
291,MT00,MT,0,3,3,514564.0,0.5830178558935332
292,EL64,EL,3,0,3,556002.0,0.5395664044373941
293,FRY4,FR,3,1,4,856858.0,0.4668218071138975
294,RO31,RO,12,0,12,2901376.0,0.4135968588697225
295,FRY3,FR,1,0,1,288086.0,0.3471185687607173
296,ME00,ME,0,1,1,621873.0,0.16080453726082336
297,UKN1,UK,56,4,60,,
